Year,Survey,LocationDesc,DataSource,Topic,Question,StratificationCategory,Stratification,DataValueUnit,DataValue,LowCI,HighCI,Footnote1,Footnote2,Footnote3,Footnote4,TopicID,QuestionID,Median,Minimum,Maximum
2021,State,California,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Female,%,,,,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",—The number of respondents within the subgroup did not meet the minimum reporting threshold or data were not available.,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,20.8,12.6,28.7
2021,State,California,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Male,%,,,,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",—The number of respondents within the subgroup did not meet the minimum reporting threshold or data were not available.,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,10.9,6.4,16.2
2021,State,Georgia,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Total,%,13.3,11.3,15.6,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,16.1,9.7,21.8
2021,State,Georgia,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Female,%,18.9,13.8,25.3,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,20.8,12.6,28.7
2021,State,Georgia,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Male,%,7.6,4.3,13.1,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,10.9,6.4,16.2
2021,State,Hawaii,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Total,%,11.8,10.6,13.1,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,16.1,9.7,21.8
2021,State,Hawaii,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Female,%,15.1,13.4,17.1,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,20.8,12.6,28.7
2021,State,Hawaii,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Male,%,8.5,7.2,9.9,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,10.9,6.4,16.2
2021,State,Kentucky,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Total,%,17.7,15.4,20.3,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,16.1,9.7,21.8
2021,State,Kentucky,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Female,%,22.9,19.0,27.4,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,20.8,12.6,28.7
2021,State,Kentucky,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Male,%,12.3,10.1,14.9,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,10.9,6.4,16.2
2021,State,Connecticut,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Total,%,13.7,11.6,16.1,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,16.1,9.7,21.8
2021,State,Connecticut,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Female,%,18.2,15.5,21.4,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,20.8,12.6,28.7
2021,State,Connecticut,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Male,%,9.4,7.4,11.9,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,10.9,6.4,16.2
2021,State,Maine,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Total,%,18.2,17.1,19.4,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,16.1,9.7,21.8
2021,State,Maine,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Female,%,23.8,21.8,26.0,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,20.8,12.6,28.7
2021,State,Maine,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Male,%,12.7,11.7,13.7,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,10.9,6.4,16.2
2021,State,Maryland,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Total,%,13.8,13.2,14.4,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,16.1,9.7,21.8
2021,State,Maryland,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Female,%,16.3,15.4,17.2,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,20.8,12.6,28.7
2021,State,Maryland,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Male,%,11.0,10.2,11.8,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,10.9,6.4,16.2
2021,State,Mississippi,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Total,%,14.6,12.5,17.1,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,16.1,9.7,21.8
2021,State,Mississippi,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Female,%,16.6,13.8,19.8,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,20.8,12.6,28.7
2021,State,Mississippi,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Male,%,12.1,9.6,15.2,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,10.9,6.4,16.2
2021,State,Missouri,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Total,%,13.9,11.2,17.0,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,16.1,9.7,21.8
2021,State,Missouri,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Female,%,19.1,14.9,24.0,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,20.8,12.6,28.7
2021,State,Missouri,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Male,%,9.1,7.3,11.4,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,10.9,6.4,16.2
2021,State,Nebraska,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Total,%,17.1,13.2,22.0,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,16.1,9.7,21.8
2021,State,Nebraska,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Female,%,26.4,20.7,32.9,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,20.8,12.6,28.7
2021,State,Nebraska,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Male,%,8.0,5.3,12.0,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,10.9,6.4,16.2
2021,State,Nevada,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Total,%,14.4,12.2,16.9,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,16.1,9.7,21.8
2021,State,Nevada,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Female,%,18.1,14.9,21.8,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,20.8,12.6,28.7
2021,State,Nevada,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Male,%,10.1,8.4,12.2,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,10.9,6.4,16.2
2021,State,New Mexico,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Total,%,12.4,11.1,13.7,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,16.1,9.7,21.8
2021,State,New Mexico,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Female,%,15.8,13.8,17.9,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,20.8,12.6,28.7
2021,State,New Mexico,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Male,%,9.0,7.6,10.7,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,10.9,6.4,16.2
2021,State,North Carolina,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Total,%,13.0,11.1,15.3,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,16.1,9.7,21.8
2021,State,North Carolina,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Female,%,17.7,13.7,22.6,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,20.8,12.6,28.7
2021,State,North Carolina,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Male,%,8.3,5.9,11.5,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,10.9,6.4,16.2
2021,State,North Dakota,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Total,%,13.6,11.2,16.3,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,16.1,9.7,21.8
2021,State,North Dakota,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Female,%,16.9,13.4,21.2,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,20.8,12.6,28.7
2021,State,North Dakota,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Male,%,10.4,8.4,12.9,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,10.9,6.4,16.2
2021,State,Ohio,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Total,%,18.5,13.8,24.5,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,16.1,9.7,21.8
2021,State,Ohio,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Female,%,28.0,19.3,38.8,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,20.8,12.6,28.7
2021,State,Ohio,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Male,%,9.7,6.5,14.2,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,10.9,6.4,16.2
2021,State,Idaho,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Total,%,16.4,13.3,20.1,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,16.1,9.7,21.8
2021,State,Idaho,YRBS,Unintentional Injuries and Violence,Were electronically bullied,Total,Female,%,19.8,15.8,24.4,"*Counting being bullied through texting, Instagram, Facebook, or other social media, ever during the 12 months before the survey.",,All Hispanic students are included in the Hispanic category. All other races are non-Hispanic.,"CI = 95% confidence interval which indicates that 95% of the time, the value is expected to fall within this estimated range.",C01,H25,20.8,12.6,28.7
